cis_safeguard_id, control                                                                                     , name                                                                                                                                                                                                                , level, category
CIS2.3          , ensure-network-access-allow-anonymous-sid-name-translation-is-set-to-disabled               , CIS - Ensure 'Network access : Allow anonymous SID/Name translation' is set to 'Disabled'                                                                                                                           ,     2, configuration
CIS2.3          , ensure-network-security-force-logoff-when-logon-hours-expire-is-set-to-enabled              , CIS - Ensure 'Network security Force logoff when logon hours expire' is set to 'Enabled'                                                                                                                            ,     1, configuration
CIS3.6          , ensure-network-security-configure-encryption-types-allowed-for-kerberos-is-set-t            , "CIS - Ensure 'Network security Configure encryption types allowed for Kerberos' is set to 'AES128_HMAC_SHA1, AES256_HMAC_SHA1, Future encryption types'"                                                           ,     2, data
CIS3.6          , ensure-configure-rpc-listener-settings-authentication-protocol-to-use-for-incomi            , CIS - Ensure 'Configure RPC listener settings: Authentication protocol to use for incoming RPC connections:' is set to 'Enabled: Negotiate' or higher                                                               ,     1, data
CIS3.6          , ensure-support-device-authentication-using-certificate-is-set-to-enabled-automat            , CIS - Ensure 'Support device authentication using certificate' is set to 'Enabled: Automatic'                                                                                                                       ,     1, data
CIS4.1          , ensure-access-credential-manager-as-a-trusted-caller-is-set-to-no-one                       , CIS - Ensure 'Access Credential Manager as a trusted caller' is set to 'No One'                                                                                                                                     ,     1, configuration
CIS4.1          , ensure-access-this-computer-from-the-network-is-set-to-administrators-remote-des            , "CIS - Ensure 'Access this computer from the network' is set to 'Administrators, Remote Desktop Users'"                                                                                                             ,     1, configuration
CIS4.1          , ensure-act-as-part-of-the-operating-system-is-set-to-no-one                                 , CIS - Ensure 'Act as part of the operating system' is set to 'No One'                                                                                                                                               ,     1, configuration
CIS4.1          , ensure-allow-log-on-locally-is-set-to-administrators-users                                  , "CIS - Ensure 'Allow log on locally' is set to 'Administrators, Users'"                                                                                                                                             ,     1, configuration
CIS4.1          , ensure-back-up-files-and-directories-is-set-to-administrators                               , CIS - Ensure 'Back up files and directories' is set to 'Administrators'                                                                                                                                             ,     1, configuration
CIS4.1          , ensure-change-the-system-time-is-set-to-administrators-local-service                        , "CIS - Ensure 'Change the system time' is set to 'Administrators, LOCAL SERVICE'"                                                                                                                                   ,     1, configuration
CIS4.1          , ensure-create-a-pagefile-is-set-to-administrators                                           , CIS - Ensure 'Create a pagefile' is set to 'Administrators'                                                                                                                                                         ,     1, configuration
CIS4.1          , ensure-create-a-token-object-is-set-to-an-empty-list                                        , CIS - Ensure 'Create a token object' is set to an empty list                                                                                                                                                        ,     1, configuration
CIS4.1          , ensure-create-global-objects-is-set-to-administrators-local-service-network-serv            , "CIS - Ensure 'Create global objects' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE'"                                                                                                          ,     1, configuration
CIS4.1          , ensure-create-permanent-shared-objects-is-set-to-an-empty-list                              , CIS - Ensure 'Create permanent shared objects' is set to an empty list                                                                                                                                              ,     1, configuration
CIS4.1          , ensure-create-symbolic-links-is-set-to-administrators-or-nt-virtual-machine-virt            , CIS - Ensure 'Create symbolic links' is set to 'Administrators or NT VIRTUAL MACHINE\Virtual Machines'                                                                                                              ,     2, configuration
CIS4.1          , ensure-debug-programs-is-set-to-administrators                                              , CIS - Ensure 'Debug programs' is set to 'Administrators'                                                                                                                                                            ,     2, configuration
CIS4.1          , ensure-deny-access-to-this-computer-from-the-network-includes-guest                         , CIS - Ensure 'Deny access to this computer from the network' includes 'Guest'                                                                                                                                       ,     1, configuration
CIS4.1          , ensure-deny-log-on-locally-includes-guest                                                   , CIS - Ensure 'Deny log on locally' includes 'Guest'                                                                                                                                                                 ,     1, configuration
CIS4.1          , ensure-deny-log-on-through-remote-desktop-services-includes-guest                           , CIS - Ensure 'Deny log on through Remote Desktop Services' includes 'Guest'                                                                                                                                         ,     1, configuration
CIS4.1          , ensure-enable-computer-and-user-accounts-to-be-trusted-for-delegation-is-set-to-            , CIS - Ensure 'Enable computer and user accounts to be trusted for delegation' is set to an empty list                                                                                                               ,     1, configuration
CIS4.1          , ensure-force-shutdown-from-a-remote-system-is-set-to-administrators                         , CIS - Ensure 'Force shutdown from a remote system' is set to 'Administrators'                                                                                                                                       ,     1, configuration
CIS4.1          , ensure-impersonate-a-client-after-authentication-is-set-to-administrators-local-            , "CIS - Ensure 'Impersonate a client after authentication' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE'"                                                                                      ,     1, configuration
CIS4.1          , ensure-increase-scheduling-priority-is-set-to-administrators-window-manager-wind            , "CIS - Ensure 'Increase scheduling priority' is set to 'Administrators, Window Manager\Window Manager Group'"                                                                                                       ,     1, configuration
CIS4.1          , ensure-load-and-unload-device-drivers-is-set-to-administrators                              , CIS - Ensure 'Load and unload device drivers' is set to 'Administrators'                                                                                                                                            ,     1, configuration
CIS4.1          , ensure-lock-pages-in-memory-is-set-to-an-empty-list                                         , CIS - Ensure 'Lock pages in memory' is set to an empty list                                                                                                                                                         ,     1, configuration
CIS4.1          , ensure-modify-an-object-label-is-set-to-an-empty-list                                       , CIS - Ensure 'Modify an object label' is set to an empty list                                                                                                                                                       ,     1, configuration
CIS4.1          , ensure-modify-firmware-environment-values-is-set-to-administrators                          , CIS - Ensure 'Modify firmware environment values' is set to 'Administrators'                                                                                                                                        ,     1, configuration
CIS4.1          , ensure-profile-single-process-is-set-to-administrators                                      , CIS - Ensure 'Profile single process' is set to 'Administrators'                                                                                                                                                    ,     1, configuration
CIS4.1          , ensure-restore-files-and-directories-is-set-to-administrators                               , CIS - Ensure 'Restore files and directories' is set to 'Administrators'                                                                                                                                             ,     1, configuration
CIS4.1          , ensure-take-ownership-of-files-or-other-objects-is-set-to-administrators                    , CIS - Ensure 'Take ownership of files or other objects' is set to 'Administrators'                                                                                                                                  ,     1, configuration
CIS4.1          , ensure-accounts-guest-account-status-is-set-to-disabled                                     , CIS - Ensure 'Accounts Guest account status' is set to 'Disabled'                                                                                                                                                   ,     1, configuration
CIS4.1          , configure-accounts-rename-administrator-account                                             , CIS - Configure 'Accounts Rename administrator account'                                                                                                                                                             ,     1, configuration
CIS4.1          , configure-accounts-rename-guest-account                                                     , CIS - Configure 'Accounts Rename guest account'                                                                                                                                                                     ,     1, configuration
CIS4.1          , ensure-devices-prevent-users-from-installing-printer-drivers-is-set-to-enabled              , CIS - Ensure 'Devices Prevent users from installing printer drivers' is set to 'Enabled'                                                                                                                            ,     1, configuration
CIS4.1          , ensure-digitally-encrypt-or-sign-secure-channel-data-always-is-set-to-enabled               , CIS - Ensure 'Digitally encrypt or sign secure channel data (always)' is set to 'Enabled'                                                                                                                           ,     1, configuration
CIS4.1          , ensure-digitally-encrypt-secure-channel-data-when-possible-is-set-to-enabled                , CIS - Ensure 'Digitally encrypt secure channel data (when possible)' is set to 'Enabled'                                                                                                                            ,     1, configuration
CIS4.1          , ensure-digitally-sign-secure-channel-data-when-possible-is-set-to-enabled                   , CIS - Ensure 'Digitally sign secure channel data (when possible)' is set to 'Enabled'                                                                                                                               ,     1, configuration
CIS4.1          , ensure-require-strong-windows-2000-or-later-session-key-is-set-to-enabled                   , CIS - Ensure 'Require strong (Windows 2000 or later) session key' is set to 'Enabled'                                                                                                                               ,     1, configuration
CIS4.1          , ensure-interactive-logon-do-not-require-ctrl-alt-del-is-set-to-disabled                     , CIS - Ensure 'Interactive logon Do not require CTRL+ALT+DEL' is set to 'Disabled'                                                                                                                                   ,     1, configuration
CIS4.1          , ensure-interactive-logon-dont-display-last-signed-in-is-set-to-enabled                      , CIS - Ensure 'Interactive logon Don't display last signed-in' is set to 'Enabled'                                                                                                                                   ,     1, configuration
CIS4.1          , ensure-interactive-logon-machine-account-lockout-threshold-is-set-to-10-or-fewer            , "CIS - Ensure 'Interactive logon Machine account lockout threshold' is set to '10 or fewer invalid logon attempts, but not 0'"                                                                                      ,     1, configuration
CIS4.1          , ensure-interactive-logon-machine-inactivity-limit-is-set-to-900-or-fewer-second-            , "CIS - Ensure 'Interactive logon Machine inactivity limit' is set to '900 or fewer second(s), but not 0'"                                                                                                           ,     1, configuration
CIS4.1          , configure-interactive-logon-message-text-for-users-attempting-to-log-on                     , CIS - Configure 'Interactive logon Message text for users attempting to log on'                                                                                                                                     ,     1, configuration
CIS4.1          , configure-interactive-logon-message-title-for-users-attempting-to-log-on                    , CIS - Configure 'Interactive logon Message title for users attempting to log on'                                                                                                                                    ,     1, configuration
CIS4.1          , ensure-interactive-logon-smart-card-removal-behavior-is-set-to-lock-workstation-            , CIS - Ensure 'Interactive logon Smart card removal behavior' is set to 'Lock Workstation' or higher                                                                                                                 ,     1, configuration
CIS4.1          , ensure-that-microsoft-network-client-digitally-sign-communications-always-is-set            , CIS - Ensure that 'Microsoft network client Digitally sign communications (always)' is set to 'Enabled'                                                                                                             ,     1, configuration
CIS4.1          , ensure-that-microsoft-network-client-digitally-sign-communications-if-server-agr            , CIS - Ensure that 'Microsoft network client Digitally sign communications (if server agrees)' is set to 'Enabled'                                                                                                   ,     1, configuration
CIS4.1          , ensure-that-microsoft-network-server-amount-of-idle-time-required-before-suspend            , CIS - Ensure that 'Microsoft network server Amount of idle time required before suspending session' is set to '15 or fewer minute(s)'                                                                               ,     1, configuration
CIS4.1          , ensure-that-microsoft-network-server-digitally-sign-communications-always-is-set            , CIS - Ensure that 'Microsoft network server Digitally sign communications (always)' is set to 'Enabled'                                                                                                             ,     1, configuration
CIS4.1          , ensure-that-microsoft-network-server-digitally-sign-communications-if-client-agr            , CIS - Ensure that 'Microsoft network server Digitally sign communications (if client agrees)' is set to 'Enabled'                                                                                                   ,     1, configuration
CIS4.1          , ensure-that-microsoft-network-server-disconnect-clients-when-logon-hours-expire-            , CIS - Ensure that 'Microsoft network server Disconnect clients when logon hours expire' is set to 'Enabled'                                                                                                         ,     1, configuration
CIS4.1          , ensure-that-microsoft-network-server-server-spn-target-name-validation-level-is-            , CIS - Ensure that 'Microsoft network server Server SPN target name validation level' is set to 'Accept if provided by client'                                                                                       ,     1, configuration
CIS4.1          , ensure-network-access-do-not-allow-anonymous-enumeration-of-sam-accounts-is-set-            , CIS - Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts' is set to 'Enabled'                                                                                                               ,     2, configuration
CIS4.1          , ensure-network-access-do-not-allow-anonymous-enumeration-of-sam-accounts-and-sha            , CIS - Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts and shares' is set to 'Enabled'                                                                                                    ,     2, configuration
CIS4.1          , ensure-network-access-let-everyone-permissions-apply-to-anonymous-users-is-set-t            , CIS - Ensure 'Network access: Let Everyone permissions apply to anonymous users' is set to 'Disabled'                                                                                                               ,     2, configuration
CIS4.1          , ensure-network-access-named-pipes-that-can-be-accessed-anonymously-is-set-to-non            , CIS - Ensure 'Network access: Named Pipes that can be accessed anonymously' is set to 'None'                                                                                                                        ,     2, configuration
CIS4.1          , ensure-network-access-remotely-accessible-registry-paths-is-configured                      , CIS - Ensure 'Network access: Remotely accessible registry paths' is configured                                                                                                                                     ,     1, configuration
CIS4.1          , ensure-network-access-remotely-accessible-registry-paths-and-sub-paths-is-config            , CIS - Ensure 'Network access: Remotely accessible registry paths and sub-paths' is configured                                                                                                                       ,     1, configuration
CIS4.1          , ensure-network-access-restrict-anonymous-access-to-named-pipes-and-shares-is-set            , CIS - Ensure 'Network access: Restrict anonymous access to Named Pipes and Shares' is set to 'Enabled'                                                                                                              ,     2, configuration
CIS4.1          , ensure-network-access-restrict-clients-allowed-to-make-remote-calls-to-sam-is-se            , CIS - Ensure 'Network access: Restrict clients allowed to make remote calls to SAM' is set to 'Administrators: Remote Access: Allow'                                                                                ,     1, configuration
CIS4.1          , ensure-network-access-shares-that-can-be-accessed-anonymously-is-set-to-none                , CIS - Ensure 'Network access: Shares that can be accessed anonymously' is set to 'None'                                                                                                                             ,     2, configuration
CIS4.1          , ensure-network-access-sharing-and-security-model-for-local-accounts-is-set-to-cl            , CIS - Ensure 'Network access: Sharing and security model for local accounts' is set to 'Classic - local users authenticate as themselves'                                                                           ,     1, configuration
CIS4.1          , ensure-network-security-allow-local-system-to-use-computer-identity-for-ntlm-is-            , CIS - Ensure 'Network security Allow Local System to use computer identity for NTLM' is set to 'Enabled'                                                                                                            ,     1, configuration
CIS4.1          , ensure-network-security-allow-localsystem-null-session-fallback-is-set-to-disabl            , CIS - Ensure 'Network security Allow LocalSystem NULL session fallback' is set to 'Disabled'                                                                                                                        ,     1, configuration
CIS4.1          , ensure-network-security-allow-pku2u-authentication-requests-to-this-computer-to-            , CIS - Ensure 'Network Security Allow PKU2U authentication requests to this computer to use online identities' is set to 'Disabled'                                                                                  ,     1, configuration
CIS4.1          , ensure-network-security-ldap-client-encryption-requirements-is-set-to-negotiate-            , CIS - Ensure 'Network security: LDAP client encryption requirements' is set to 'Negotiate sealing' or higher                                                                                                        ,     2, configuration
CIS4.1          , ensure-network-security-lan-manager-authentication-level-is-set-to-send-ntlmv2-r            , CIS - Ensure 'Network security LAN Manager authentication level' is set to 'Send NTLMv2 response only. Refuse LM & NTLM'                                                                                            ,     1, configuration
CIS4.1          , ensure-network-security-ldap-client-signing-requirements-is-set-to-negotiate-sig            , CIS - Ensure 'Network security LDAP client signing requirements' is set to 'Negotiate signing or higher'                                                                                                            ,     1, configuration
CIS4.1          , ensure-system-cryptography-force-strong-key-protection-for-user-keys-stored-on-t            , CIS - Ensure 'System cryptography Force strong key protection for user keys stored on the computer' is set to 'User is prompted when the key is first used or higher'                                               ,     1, configuration
CIS4.1          , ensure-system-objects-require-case-insensitivity-for-non-windows-subsystems-is-s            , CIS - Ensure 'System objects Require case insensitivity for non Windows subsystems' is set to 'Enabled'                                                                                                             ,     1, configuration
CIS4.1          , ensure-system-objects-strengthen-default-permissions-of-internal-system-objects-            , CIS - Ensure 'System objects Strengthen default permissions of internal system objects (e.g. Symbolic Links)' is set to 'Enabled'                                                                                   ,     2, configuration
CIS4.1          , ensure-user-account-control-admin-approval-mode-for-the-built-in-administrator-a            , CIS - Ensure 'User Account Control: Admin Approval Mode for the Built-in Administrator account' is set to 'Enabled'                                                                                                 ,     1, configuration
CIS4.1          , ensure-user-account-control-behavior-of-the-elevation-prompt-for-administrators-            , CIS - Ensure 'User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode' is set to 'Prompt for consent on the secure desktop'                                                ,     1, configuration
CIS4.1          , ensure-user-account-control-behavior-of-the-elevation-prompt-for-standard-users-            , CIS - Ensure 'User Account Control: Behavior of the elevation prompt for standard users' is set to 'Automatically deny elevation requests'                                                                          ,     1, configuration
CIS4.1          , ensure-user-account-control-detect-application-installations-and-prompt-for-elev            , CIS - Ensure 'User Account Control: Detect application installations and prompt for elevation' is set to 'Enabled'                                                                                                  ,     1, configuration
CIS4.1          , ensure-user-account-control-only-elevate-uiaccess-applications-that-are-installe            , CIS - Ensure 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' is set to 'Enabled'                                                                                  ,     1, configuration
CIS4.1          , ensure-user-account-control-run-all-administrators-in-admin-approval-mode-is-set            , CIS - Ensure 'User Account Control: Run all administrators in Admin Approval Mode' is set to 'Enabled'                                                                                                              ,     1, configuration
CIS4.1          , ensure-user-account-control-switch-to-the-secure-desktop-when-prompting-for-elev            , CIS - Ensure 'User Account Control: Switch to the secure desktop when prompting for elevation' is set to 'Enabled'                                                                                                  ,     1, configuration
CIS4.1          , ensure-user-account-control-virtualize-file-and-registry-write-failures-to-per-u            , CIS - Ensure 'User Account Control: Virtualize file and registry write failures to per-user locations' is set to 'Enabled'                                                                                          ,     1, configuration
CIS4.1          , ensure-bluetooth-audio-gateway-service-btagservice-is-set-to-disabled                       , CIS - Ensure 'Bluetooth Audio Gateway Service (BTAGService)' is set to 'Disabled'                                                                                                                                   ,     1, configuration
CIS4.1          , ensure-bluetooth-support-service-bthserv-is-set-to-disabled                                 , CIS - Ensure 'Bluetooth Support Service (bthserv)' is set to 'Disabled'                                                                                                                                             ,     1, configuration
CIS4.1          , ensure-computer-browser-browser-is-set-to-disabled-or-not-installed                         , CIS - Ensure 'Computer Browser (Browser)' is set to 'Disabled' or 'Not Installed'                                                                                                                                   ,     1, configuration
CIS4.1          , ensure-downloaded-maps-manager-mapsbroker-is-set-to-disabled                                , CIS - Ensure 'Downloaded Maps Manager (MapsBroker)' is set to 'Disabled'                                                                                                                                            ,     1, configuration
CIS4.1          , ensure-gameinput-service-gameinputsvc-is-set-to-disabled                                    , CIS - Ensure 'GameInput Service (GameInputSvc)' is set to 'Disabled'                                                                                                                                                ,     1, configuration
CIS4.1          , ensure-geolocation-service-lfsvc-is-set-to-disabled                                         , CIS - Ensure 'Geolocation Service (lfsvc)' is set to 'Disabled'                                                                                                                                                     ,     1, configuration
CIS4.1          , ensure-iis-admin-service-iisadmin-is-set-to-disabled-or-not-installed                       , CIS - Ensure 'IIS Admin Service (IISADMIN)' is set to 'Disabled' or 'Not Installed'                                                                                                                                 ,     1, configuration
CIS4.1          , ensure-infrared-monitor-service-irmon-is-set-to-disabled-or-not-installed                   , CIS - Ensure 'Infrared monitor service (irmon)' is set to 'Disabled' or 'Not Installed'                                                                                                                             ,     1, configuration
CIS4.1          , ensure-link-layer-topology-discovery-mapper-lltdsvc-is-set-to-disabled                      , CIS - Ensure 'Link-Layer Topology Discovery Mapper (lltdsvc)' is set to 'Disabled'                                                                                                                                  ,     1, configuration
CIS4.1          , ensure-lxssmanager-lxssmanager-is-set-to-disabled-or-not-installed                          , CIS - Ensure 'LxssManager (LxssManager)' is set to 'Disabled' or 'Not Installed'                                                                                                                                    ,     1, configuration
CIS4.1          , ensure-microsoft-ftp-service-ftpsvc-is-set-to-disabled-or-not-installed                     , CIS - Ensure 'Microsoft FTP Service (FTPSVC)' is set to 'Disabled' or 'Not Installed'                                                                                                                               ,     1, configuration
CIS4.1          , ensure-microsoft-iscsi-initiator-service-msiscsi-is-set-to-disabled                         , CIS - Ensure 'Microsoft iSCSI Initiator Service (MSiSCSI)' is set to 'Disabled'                                                                                                                                     ,     1, configuration
CIS4.1          , ensure-openssh-ssh-server-sshd-is-set-to-disabled-or-not-installed                          , CIS - Ensure 'OpenSSH SSH Server (sshd)' is set to 'Disabled' or 'Not Installed'                                                                                                                                    ,     1, configuration
CIS4.1          , ensure-print-spooler-spooler-is-set-to-disabled                                             , CIS - Ensure 'Print Spooler (Spooler)' is set to 'Disabled'                                                                                                                                                         ,     1, configuration
CIS4.1          , ensure-problem-reports-and-solutions-control-panel-support-wercplsupport-is-set-            , CIS - Ensure 'Problem Reports and Solutions Control Panel Support (wercplsupport)' is set to 'Disabled'                                                                                                             ,     1, configuration
CIS4.1          , ensure-remote-access-auto-connection-manager-rasauto-is-set-to-disabled                     , CIS - Ensure 'Remote Access Auto Connection Manager (RasAuto)' is set to 'Disabled'                                                                                                                                 ,     1, configuration
CIS4.1          , ensure-remote-desktop-configuration-sessionenv-is-set-to-disabled                           , CIS - Ensure 'Remote Desktop Configuration (SessionEnv)' is set to 'Disabled'                                                                                                                                       ,     1, configuration
CIS4.1          , ensure-remote-desktop-services-termservice-is-set-to-disabled                               , CIS - Ensure 'Remote Desktop Services (TermService)' is set to 'Disabled'                                                                                                                                           ,     1, configuration
CIS4.1          , ensure-remote-desktop-services-usermode-port-redirector-umrdpservice-is-set-to-d            , CIS - Ensure 'Remote Desktop Services UserMode Port Redirector (UmRdpService)' is set to 'Disabled'                                                                                                                 ,     1, configuration
CIS4.1          , ensure-remote-procedure-call-rpc-locator-rpclocator-is-set-to-disabled                      , CIS - Ensure 'Remote Procedure Call (RPC) Locator (RpcLocator)' is set to 'Disabled'                                                                                                                                ,     1, configuration
CIS4.1          , ensure-remote-registry-remoteregistry-is-set-to-disabled                                    , CIS - Ensure 'Remote Registry (RemoteRegistry)' is set to 'Disabled'                                                                                                                                                ,     1, configuration
CIS4.1          , ensure-routing-and-remote-access-remoteaccess-is-set-to-disabled                            , CIS - Ensure 'Routing and Remote Access (RemoteAccess)' is set to 'Disabled'                                                                                                                                        ,     1, configuration
CIS4.1          , ensure-server-lanmanserver-is-set-to-disabled                                               , CIS - Ensure 'Server (LanmanServer)' is set to 'Disabled'                                                                                                                                                           ,     1, configuration
CIS4.1          , ensure-simple-tcp-ip-services-simptcp-is-set-to-disabled-or-to-not-installed                , CIS - Ensure 'Simple TCP/IP Services (simptcp)' is set to 'Disabled' or to 'Not Installed'                                                                                                                          ,     1, configuration
CIS4.1          , ensure-snmp-service-snmp-is-set-to-disabled-or-to-not-installed                             , CIS - Ensure 'SNMP Service (SNMP)' is set to 'Disabled' or to 'Not Installed'                                                                                                                                       ,     1, configuration
CIS4.1          , ensure-special-administration-console-helper-sacsvr-is-set-to-disabled-or-to-not            , CIS - Ensure 'Special Administration Console Helper (sacsvr)' is set to 'Disabled' or to 'Not Installed'                                                                                                            ,     1, configuration
CIS4.1          , ensure-ssdp-discovery-ssdpsrv-is-set-to-disabled                                            , CIS - Ensure 'SSDP Discovery (SSDPSRV)' is set to 'Disabled'                                                                                                                                                        ,     1, configuration
CIS4.1          , ensure-upnp-device-host-upnphost-is-set-to-disabled                                         , CIS - Ensure 'UPnP Device Host (upnphost)' is set to 'Disabled'                                                                                                                                                     ,     1, configuration
CIS4.1          , ensure-web-management-service-wmsvc-is-set-to-disabled-or-to-not-installed                  , CIS - Ensure 'Web Management Service (WMSvc)' is set to 'Disabled' or to 'Not Installed'                                                                                                                            ,     1, configuration
CIS4.1          , ensure-windows-error-reporting-service-wersvc-is-set-to-disabled                            , CIS - Ensure 'Windows Error Reporting Service (WerSvc)' is set to 'Disabled'                                                                                                                                        ,     1, configuration
CIS4.1          , ensure-windows-event-collector-wecsvc-is-set-to-disabled                                    , CIS - Ensure 'Windows Event Collector (Wecsvc)' is set to 'Disabled'                                                                                                                                                ,     1, configuration
CIS4.1          , ensure-windows-media-player-network-sharing-service-wmpnetworksvc-is-set-to-disa            , CIS - Ensure 'Windows Media Player Network Sharing Service (WMPNetworkSvc)' is set to 'Disabled' or to 'Not Installed'                                                                                              ,     1, configuration
CIS4.1          , ensure-windows-mobile-hotspot-service-icssvc-is-set-to-disabled                             , CIS - Ensure 'Windows Mobile Hotspot Service (icssvc)' is set to 'Disabled'                                                                                                                                         ,     1, configuration
CIS4.1          , ensure-windows-push-notifications-system-service-wpnservice-is-set-to-disabled              , CIS - Ensure 'Windows Push Notifications System Service (WpnService)' is set to 'Disabled'                                                                                                                          ,     1, configuration
CIS4.1          , ensure-windows-pushtoinstall-service-pushtoinstall-is-set-to-disabled                       , CIS - Ensure 'Windows PushToInstall Service (PushToInstall)' is set to 'Disabled'                                                                                                                                   ,     1, configuration
