cis_safeguard_id,control,name,level,category,provisional
CIS1.106,ubtu_24_600140,CIS - Ensure Restrict access to the kernel message buffer.,3,services,true
CIS1.107,ubtu_24_600150,CIS - Ensure Set a sticky bit on all public directories to prevent unauthorized and unintended information transferred via shared system resources.,2,secure-config,true
CIS1.108,ubtu_24_600160,CIS - Ensure Compare internal information system clocks at least every 24 hours with an authoritative time server.,3,time-sync,true
CIS1.109,ubtu_24_600180,CIS - Ensure Synchronize internal information system clocks to the authoritative time source when the time difference is greater than one second.,3,time-sync,true
CIS1.110,ubtu_24_600190,CIS - Ensure Be configured to use TCP syncookies.,2,services,true
CIS1.112,ubtu_24_600230,CIS - Ensure Disable all wireless network adapters.,2,services,true
CIS1.113,ubtu_24_700010,CIS - Ensure Generate error messages that provide information necessary for corrective actions without revealing information that could be exploited by adversaries.,2,data-protection,true
CIS1.114,ubtu_24_700020,CIS - Ensure Generate system journal entries without revealing information that could be exploited by adversaries.,2,data-protection,true
CIS1.115,ubtu_24_700030,"CIS - Ensure Be configured so that the ""journalctl"" command is not accessible by unauthorized users.",2,data-protection,true
CIS1.116,ubtu_24_700040,"CIS - Ensure Be configured so that the ""journalctl"" command is owned by ""root"".",2,data-protection,true
CIS1.117,ubtu_24_700050,"CIS - Ensure Be configured so that the ""journalctl"" command is group- owned by ""root"".",2,data-protection,true
CIS1.118,ubtu_24_700060,"CIS - Ensure Configure the directories used by the system journal to be group-owned by ""systemd-journal"".",2,data-protection,true
CIS1.119,ubtu_24_700070,"CIS - Ensure Configure the files used by the system journal to be group- owned by ""systemd-journal"".",2,data-protection,true
CIS1.120,ubtu_24_700080,"CIS - Ensure Configure the directories used by the system journal to be owned by ""root"".",2,data-protection,true
CIS1.121,ubtu_24_700090,"CIS - Ensure Configure the files used by the system journal to be owned by ""root"".",2,data-protection,true
CIS1.122,ubtu_24_700100,"CIS - Ensure Configure the ""/var/log"" directory to be group-owned by ""syslog"".",2,data-protection,true
CIS1.123,ubtu_24_700110,"CIS - Ensure Configure the ""/var/log"" directory to be owned by ""root"".",2,data-protection,true
CIS1.124,ubtu_24_700120,"CIS - Ensure Configure the ""/var/log"" directory to have mode ""755"" or less permissive. ROUP ID: V-270767 RULE ID: SV-270767r1066790",2,data-protection,true
CIS1.125,ubtu_24_700130,"CIS - Ensure Configure the ""/var/log/syslog"" file to be group-owned by ""adm"".",2,data-protection,true
CIS1.126,ubtu_24_700140,"CIS - Ensure Configure ""/var/log/syslog"" file to be owned by ""syslog"".",2,data-protection,true
CIS1.127,ubtu_24_700150,"CIS - Ensure Configure ""/var/log/syslog"" file with mode ""640"" or less permissive.",2,data-protection,true
CIS1.128,ubtu_24_700300,CIS - Ensure Implement nonexecutable data to protect its memory from unauthorized code execution.,2,malware,true
CIS1.129,ubtu_24_700310,CIS - Ensure Implement address space layout randomization to protect its memory from unauthorized code execution.,2,malware,true
CIS1.130,ubtu_24_700320,CIS - Ensure Be configured so that the Advance Package Tool (APT) removes all software components after updated versions have been installed.,2,general,true
CIS1.131,ubtu_24_700400,CIS - Ensure A vendor-supported release.,2,general,true
CIS1.132,ubtu_24_900040,CIS - Ensure Be configured so that audit configuration files are not write- accessible by unauthorized users.,2,data-protection,true
CIS1.133,ubtu_24_900050,CIS - Ensure Permit only authorized accounts to own the audit configuration files.,2,data-protection,true
CIS1.134,ubtu_24_900060,CIS - Ensure Permit only authorized groups to own the audit configuration files.,2,data-protection,true
CIS1.135,ubtu_24_900070,CIS - Ensure Generate audit records for successful/unsuccessful uses of the su command.,2,audit-log,true
CIS1.136,ubtu_24_900080,CIS - Ensure Generate audit records for successful/unsuccessful uses of the chfn command.,2,audit-log,true
CIS1.137,ubtu_24_900090,CIS - Ensure Generate audit records for successful/unsuccessful uses of the mount command.,2,audit-log,true
CIS1.138,ubtu_24_900100,CIS - Ensure Generate audit records for successful/unsuccessful uses of the umount command.,2,audit-log,true
CIS1.139,ubtu_24_900110,CIS - Ensure Generate audit records for successful/unsuccessful uses of the ssh-agent command.,2,audit-log,true
CIS1.140,ubtu_24_900120,CIS - Ensure Generate audit records for successful/unsuccessful uses of the ssh-keysign command.,2,audit-log,true
CIS1.141,ubtu_24_900130,"CIS - Ensure Generate audit records for any use of the setxattr, fsetxattr, lsetxattr, removexattr, fremovexattr, and lremovexattr system calls.",2,audit-log,true
CIS1.142,ubtu_24_900140,"CIS - Ensure Generate audit records for successful/unsuccessful uses of the chown, fchown, fchownat, and lchown system calls.",2,audit-log,true
CIS1.143,ubtu_24_900150,"CIS - Ensure Generate audit records for successful/unsuccessful uses of the chmod, fchmod, and fchmodat system calls.",2,audit-log,true
CIS1.144,ubtu_24_900160,"CIS - Ensure Generate audit records for successful/unsuccessful uses of the creat, open, openat, open_by_handle_at, truncate, and ftruncate system calls.",2,audit-log,true
CIS1.145,ubtu_24_900170,CIS - Ensure The operating system LTS must generate audit records for successful/unsuccessful uses of the sudo command.,2,audit-log,true
CIS1.146,ubtu_24_900180,CIS - Ensure Generate audit records for successful/unsuccessful uses of the sudoedit command.,2,audit-log,true
CIS1.147,ubtu_24_900190,CIS - Ensure Generate audit records for successful/unsuccessful uses of the chsh command.,2,audit-log,true
CIS1.148,ubtu_24_900200,CIS - Ensure Generate audit records for successful/unsuccessful uses of the newgrp command.,2,audit-log,true
CIS1.149,ubtu_24_900210,CIS - Ensure Generate audit records for successful/unsuccessful uses of the chcon command.,2,audit-log,true
CIS1.150,ubtu_24_900220,CIS - Ensure Generate audit records for successful/unsuccessful uses of the apparmor_parser command.,2,audit-log,true
CIS1.151,ubtu_24_900230,CIS - Ensure Generate audit records for successful/unsuccessful uses of the setfacl command.,2,audit-log,true
CIS1.152,ubtu_24_900240,CIS - Ensure Generate audit records for successful/unsuccessful uses of the chacl command.,2,audit-log,true
CIS1.153,ubtu_24_900250,CIS - Ensure Generate audit records for the use and modification of faillog file.,2,audit-log,true
CIS1.154,ubtu_24_900260,CIS - Ensure Generate audit records for the use and modification of the lastlog file.,2,audit-log,true
CIS1.155,ubtu_24_900270,CIS - Ensure Generate audit records for successful/unsuccessful uses of the passwd command.,2,audit-log,true
CIS1.156,ubtu_24_900280,CIS - Ensure Generate audit records for successful/unsuccessful uses of the unix_update command.,2,audit-log,true
CIS1.157,ubtu_24_900290,CIS - Ensure Generate audit records for successful/unsuccessful uses of the gpasswd command.,2,audit-log,true
CIS1.158,ubtu_24_900300,CIS - Ensure Generate audit records for successful/unsuccessful uses of the chage command.,2,audit-log,true
CIS1.159,ubtu_24_900310,CIS - Ensure Generate audit records for successful/unsuccessful uses of the usermod command.,2,audit-log,true
CIS1.160,ubtu_24_900320,CIS - Ensure Generate audit records for successful/unsuccessful uses of the crontab command.,2,audit-log,true
CIS1.161,ubtu_24_900330,CIS - Ensure Generate audit records for successful/unsuccessful uses of the pam_timestamp_check command.,2,audit-log,true
CIS1.162,ubtu_24_900340,CIS - Ensure Generate audit records for successful/unsuccessful uses of the init_module and finit_module system calls.,2,audit-log,true
CIS1.163,ubtu_24_900350,CIS - Ensure Generate audit records for successful/unsuccessful uses of the delete_module system call.,2,audit-log,true
CIS1.164,ubtu_24_900510,CIS - Ensure Generate audit records when successful/unsuccessful attempts to modify the /etc/sudoers file occur.,2,audit-log,true
CIS1.165,ubtu_24_900520,CIS - Ensure Generate audit records when successful/unsuccessful attempts to modify the /etc/sudoers.d directory occur.,2,audit-log,true
CIS1.166,ubtu_24_900540,"CIS - Ensure Generate audit records for any successful/unsuccessful use of unlink, unlinkat, rename, renameat, and rmdir system calls.",2,audit-log,true
CIS1.167,ubtu_24_900590,CIS - Ensure Generate audit records for the /var/log/wtmp file.,2,audit-log,true
CIS1.168,ubtu_24_900600,CIS - Ensure Generate audit records for the /var/run/utmp file.,2,audit-log,true
CIS1.169,ubtu_24_900610,CIS - Ensure Generate audit records for the /var/log/btmp file.,2,audit-log,true
CIS1.170,ubtu_24_900730,CIS - Ensure Generate audit records for successful/unsuccessful attempts to use modprobe command.,2,audit-log,true
CIS1.171,ubtu_24_900740,CIS - Ensure Generate audit records for successful/unsuccessful attempts to use the kmod command.,2,audit-log,true
CIS1.172,ubtu_24_900750,CIS - Ensure Generate audit records for successful/unsuccessful attempts to use the fdisk command.,2,audit-log,true
CIS1.173,ubtu_24_900920,"CIS - Ensure Allocate audit record storage capacity to store at least one weeks' worth of audit records, when audit records are not immediately sent to a central audit record storage facility.",3,general,true
CIS1.174,ubtu_24_900950,CIS - Ensure Have a crontab script running weekly to offload audit events of standalone systems.,3,general,true
CIS1.175,ubtu_24_900960,CIS - Ensure Immediately notify the system administrator (SA) and information system security officer (ISSO) (at a minimum) when allocated audit record storage volume reaches 75 percent of the repository maximum audit record storage capacity.,3,audit-log,true
CIS1.176,ubtu_24_900980,CIS - Ensure Alert the information system security officer (ISSO) and system administrator (SA) in the event of an audit processing failure.,3,audit-log,true
CIS1.177,ubtu_24_901220,CIS - Ensure Record time stamps for audit records that can be mapped to Coordinated Universal Time (UTC).,3,time-sync,true
CIS1.178,ubtu_24_901230,"CIS - Ensure Configure audit tools with a mode of ""755"" or less permissive.",2,data-protection,true
CIS1.179,ubtu_24_901240,"CIS - Ensure Configure audit tools to be owned by ""root"".",2,data-protection,true
CIS1.180,ubtu_24_901250,CIS - Ensure Configure the audit tools to be group-owned by root.,2,data-protection,true
CIS1.181,ubtu_24_901260,"CIS - Ensure Have directories that contain system commands set to a mode of ""755"" or less permissive.",2,data-protection,true
CIS1.182,ubtu_24_901270,"CIS - Ensure Have directories that contain system commands owned by ""root"".",2,data-protection,true
CIS1.183,ubtu_24_901280,"CIS - Ensure Have directories that contain system commands group- owned by ""root"".",2,data-protection,true
CIS1.184,ubtu_24_901300,CIS - Ensure Be configured so that audit log files are not read- or write- accessible by unauthorized users.,2,data-protection,true
CIS1.185,ubtu_24_901310,CIS - Ensure Be configured to permit only authorized users ownership of the audit log files.,2,data-protection,true
CIS1.186,ubtu_24_901350,CIS - Ensure Permit only authorized groups ownership of the audit log files.,2,data-protection,true
CIS1.187,ubtu_24_901380,CIS - Ensure Be configured so that the audit log directory is not write- accessible by unauthorized users.,2,data-protection,true
CIS1.188,ubtu_24_909000,CIS - Ensure The operating system's audit system must protect auditing rules from unauthorized change.,2,data-protection,true
